country,ccode,rcode,srcode,cow,xdth,libdem,cpi,stfail,polity5,regime,polsys,fed,elesys,parorg,ctp,ctp1,ctp2,mog,mog6,gdppc,agr,sarsmers,airpm,smoke,sbpsev,prev509,hspbed,age65,temp,hlthsys,ppl,goveff,vax
Portugal,PRT,6,19,235,351.4295613,79.2,61,0,10,3,1,0,2,0.9623,1.9623,119.7003,119.7003,Centripetal,Centripetal,34945.66151,2.088548542,0,20.59578331,0.277134887,6.989549767,2692.976949,3.400980585,19.64730468,16.51688521,53.9,0,1.168681502,268.4
Qatar,QAT,5,15,694,51.37568579,9.5,63,0,-10,1,NA,0,NA,0.929,NA,NA,NA,Centralized,Centralized,89966.44972,0.260005311,1,90.2674344,0.175120121,7.696121874,1754.908177,1.570655882,1.299587838,28.59011391,42.4,0,0.704913795,263.982
Romania,ROU,6,16,360,662.2982074,55.2,44,0,9,2,1,0,2,1.0846,2.0846,91.7224,91.7224,Centripetal,Centripetal,29875.06277,4.123626547,0,28.01593024,0.309314402,11.05455676,2329.31268,5.938997369,15.89653143,11.43946478,47.9,0,-0.162179321,83.3
Russia,RUS,6,17,365,933.0480917,10.4,30,0,4,1,1,2,1,1.0825,NA,NA,-27.525,Centralized,Centralized,27210.546,3.495566547,0,33.95055923,0.297008915,8.673903907,1823.835278,8.79661719,10.68729474,5.501328687,58.9,0,0.150180608,126.3
Rwanda,RWA,1,1,517,122.4364065,10.7,54,0,-3,1,NA,0,2,1.0126,NA,NA,NA,Centralized,Centralized,2227.517033,23.5436567,0,19.28450419,0.146110683,6.792957741,1806.057684,1.312945596,2.795815498,19.58907517,18.5,0,0.184568107,201.56
Sao Tome and Principe,STP,1,2,403,99.9349305,58.7,47,NA,NA,2,1,0,2,1.0102,2.0102,94.4794,94.4794,Centripetal,Centripetal,4005.341623,12.28981199,0,20.90514063,0.047715587,12.98508766,3391.957503,2.662359763,3.617311024,24.11422909,25.2,0,-0.627701879,104.167
Saudi Arabia,SAU,5,15,670,157.3822189,4.7,53,0,-10,1,NA,0,NA,0.9647,NA,NA,NA,Centralized,Centralized,46962.14769,2.233336374,2,84.65730334,0.143663571,7.245472974,2053.043864,2.331289925,2.561262644,26.62310247,40.7,0,0.30617404,195.751
Senegal,SEN,1,4,433,85.72465948,58.3,45,0,7,2,0,0,1,1.1539,0.1539,6.9255,6.9255,Centripetal,Somewhat centripetal,3361.461548,14.98648114,0,18.23104397,0.076661417,9.17361359,1758.615905,0.266715506,3.65592006,27.90431238,14.6,0,-0.0581013,16.936
Serbia,SRB,6,16,345,933.184889,23.9,38,0,8,1,1,0,2,1.2053,NA,NA,83.8014,Centralized,Centralized,18306.78524,5.954416345,0,33.39169937,0.38241312,10.10867044,2899.767379,5.412056406,16.42557948,11.8593376,50.9,1,0.048476152,97
Seychelles,SYC,1,1,591,-50.51904444,47.1,66,NA,NA,2,0,0,1,1.1924,0.1924,12.6984,12.6984,Centripetal,Somewhat centripetal,27611.11893,2.240600014,0,39.44624722,0.243924818,9.592454435,2171.458674,3.794855595,6.812583578,27.87658858,18.2,0,0.51690197,223.178
Sierra Leone,SLE,1,4,451,-2.356445711,43.5,33,0,7,2,0,0,0,0.9337,-1.0663,-35.1879,-35.1879,Decentralized,Somewhat decentralized,1705.191452,58.15447245,0,9.035485993,0.191729048,11.52945926,1874.501646,0.520837482,3.212303063,26.85602721,31,0,-1.126063585,80.795
Singapore,SGP,4,13,830,84.21016352,30.7,85,0,-2,1,1,0,1,1.3812,NA,NA,NA,Centralized,Centralized,98411.58206,0.032384523,2,40.92667148,0.138735366,4.401070407,1499.898848,2.403144075,10.78977456,27.66299399,47.3,0,2.220709085,254.275
Slovakia,SVK,6,16,317,541.5040456,75.6,49,0,10,3,2,0,2,1.0493,3.0493,149.4157,149.4157,Centripetal,Centripetal,31927.59383,1.667460711,0,37.76063185,0.269759209,10.12065089,1870.031725,5.74224514,13.2714281,8.925124769,62.7,0,0.585226417,132.2
Slovenia,SVN,6,16,349,299.638335,65.1,60,0,10,3,2,0,2,1.0268,3.0268,181.608,181.608,Centripetal,Centripetal,38946.68538,1.956808836,0,34.3414832,0.274186224,9.917487985,1897.022383,4.521214246,17.16708108,10.25340859,72.8,0,1.081090689,144.2
Solomon Islands,SLB,4,14,940,49.35505615,48.5,42,0,8,2,2,1,0,0.8154,-0.1846,-7.7532,-7.7532,Decentralized,Somewhat decentralized,2660.979697,32.671,0,6.517462096,0.358362323,4.898661426,1478.483764,1.528016778,2.871259508,25.09967984,18.9,0,-0.999316156,82.544
Somalia,SOM,1,1,520,183.6368776,9.7,12,1,5,0,NA,NA,NA,0.6916,NA,NA,NA,Anarchic,Anarchic,1186.450871,60.2,0,8.941014913,0.11432648,7.969496497,1518.230562,0.66140044,1.912869482,27.13474585,1.3,0,-2.236428976,54.906
South Africa,ZAF,1,3,560,467.7446871,57.7,44,0,9,2,2,2,2,1.1252,1.1252,49.5088,49.5088,Centripetal,Somewhat centripetal,13709.96637,1.964302458,1,40.92338964,0.225242694,10.66279815,2255.999915,2.475140011,5.082976376,18.59101655,29.2,0,0.367656112,64.157
South Korea,KOR,4,11,732,118.0958051,79.2,61,0,8,3,0,0,2,0.9781,0.9781,59.6641,59.6641,Centripetal,Centripetal,42804.66891,1.667930979,2,48.65780201,0.244974962,3.91615843,2027.25069,8.269276161,12.52571037,12.27170784,62.5,0,1.376087666,265.514
South Sudan,SSD,1,5,626,147.7771222,7,12,1,-77,0,NA,NA,NA,1.1424,NA,NA,NA,Anarchic,Anarchic,NA,10.22011853,0,14.13471903,0.113641017,7.884346323,1568.183912,0.594963423,3.136198514,27.30677921,19.5,0,-2.451946259,20.746
Spain,ESP,6,19,230,332.4489154,80,62,0,10,3,2,2,2,1.1213,1.1213,69.5206,69.5206,Centripetal,Centripetal,40803.62698,2.594635861,0,24.66738093,0.276555309,8.076988279,3081.846585,3.088018357,17.24696113,15.88267505,52.9,0,1.001175284,236.6
Sri Lanka,LKA,4,12,780,216.1251017,37.9,38,0,6,2,1,0,0,1.2688,0.2688,10.2144,10.2144,Centripetal,Somewhat centripetal,13070.12564,7.540588049,0,14.02837004,0.152723659,8.056494566,2330.450772,2.748161725,9.13083638,27.139447,16.1,1,-0.11433927,187.345
Sudan,SDN,1,5,625,243.8031335,8.6,16,0,-4,1,NA,1,NA,1.2367,NA,NA,NA,Centralized,Centralized,4173.566206,20.16401535,0,34.85680552,0.107282448,10.14695164,1862.617485,0.775782123,3.781967552,28.72219626,12.8,0,-1.622058511,31.271
